k,Ev,mes-ano,ONI
1343.8335953878407,0.33822521507181885,Jul-75,-1.2559465
1178.861635220126,0.3156036126719325,Aug-75,-0.99656653
1210.9103773584907,0.3314862796445472,Sep-75,-0.7895842
1312.0429769392033,0.33593947325230894,Oct-75,-0.6845182
1303.1808176100628,0.33256310840999465,Nov-75,-0.6418877
1328.8474842767296,0.33705800301290206,Dec-75,-0.46965614
1390.8860062893082,0.3512317616782029,Jan-76,-0.39571193
1463.1818658280922,0.3626388632446296,Feb-76,-0.34012496
1425.850890985325,0.35402428250320883,Mar-76,-0.45535976
1518.1268343815514,0.36583240863463923,Apr-76,-0.43660638
1502.927672955975,0.3633056462204214,May-76,-0.46737128
1431.6679769392033,0.3512433814490287,Jun-76,-0.51610804
1331.202568134172,0.3517517245423713,Jul-76,-0.5796955
1356.3854821802936,0.4084081532305838,Aug-76,-0.6084688
1389.7945492662475,0.3531762562504257,Sep-76,-0.710394
1526.2615303983227,0.36922203861471425,Oct-76,-0.9064478
1584.7327044025158,0.37522445486635236,Nov-76,-1.1068447
1598.3653039832286,0.38300660556172345,Dec-76,-1.2089702
1681.2783018867924,0.40058261147786267,Jan-77,-1.2801678
1724.1113731656185,0.40436561212839217,Feb-77,-1.3004067
1740.058962264151,0.40831392321554627,Mar-77,-1.322911
1762.0083857442348,0.41274704534274526,Apr-77,-1.4249653
1724.110324947589,0.4067111628817126,May-77,-1.5565639
1676.2531446540881,0.3946307452183152,Jun-77,-1.5443121
1635.274109014675,0.38965468350725724,Jul-77,-1.2428141
1541.2264150943397,0.3684170180256909,Aug-77,-0.9444865
1593.5099580712788,0.38363400411107584,Sep-77,-0.74537647
1664.8335953878407,0.3909995790664391,Oct-77,-0.64100164
1520.1928721174004,0.36637396286751056,Nov-77,-0.41990453
1457.237683438155,0.36938668735952235,Dec-77,-0.14187203
1443.380503144654,0.3776946826059821,Jan-78,0.21582317
1348.0946016771488,0.36537852973639556,Feb-78,0.43572837
1361.494496855346,0.3621589008923168,Mar-78,0.6325473
1338.507075471698,0.3585592912481099,Apr-78,0.5965765
1252.2387316561844,0.3456100367789224,May-78,0.5906369
1212.8123689727463,0.32345174136789967,Jun-78,0.5006918
1249.8647798742138,0.3300612321940903,Jul-78,0.5076545
1251.58071278826,0.34223216072692286,Aug-78,0.41799578
1273.662997903564,0.3406531586496678,Sep-78,0.3164566
1290.5416666666667,0.3389027293547287,Oct-78,0.19183174
1209.1438679245282,0.3433724102315754,Nov-78,0.22465311
1124.7528825995807,0.32419978602945726,Dec-78,0.24444684
1118.5893605870021,0.3157103101511428,Jan-79,0.273409
